baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,locus_tag,feature_type,gene_symbol,product,EC_number,COG,display_name,plot_label,classification
585.9239166,3.95658811,0.147975748,26.73808489,1.70E-157,1.38E-156,AENJPLPP_00358,AENJPLPP_00358,CDS,mdxE,Maltodextrin-binding protein MdxE,,COG2182,mdxE,"mdxE
(AENJPLPP_00358)",Up in serum
365.8709795,3.945169274,0.158567867,24.88000463,1.22E-136,8.96E-136,AENJPLPP_00641,AENJPLPP_00641,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
114.2613538,3.937391895,0.268495169,14.66466571,1.09E-48,3.83E-48,AENJPLPP_02156,AENJPLPP_02156,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
134.2903926,3.929843797,0.25141364,15.63098882,4.48E-55,1.71E-54,AENJPLPP_00191,AENJPLPP_00191,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
218.419791,3.919458894,0.192460322,20.36502304,3.42E-92,1.85E-91,AENJPLPP_00961,AENJPLPP_00961,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
634.9405935,3.909990562,0.12455006,31.3929239,2.53E-216,2.84E-215,AENJPLPP_02193,AENJPLPP_02193,CDS,smc_3,Chromosome partition protein Smc,,,smc_3,"smc_3
(AENJPLPP_02193)",Up in serum
34.90315897,3.90900251,0.463642255,8.431074753,3.43E-17,7.36E-17,AENJPLPP_02144,AENJPLPP_02144,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
1824.992765,3.899040816,0.089506206,43.56168144,0,0,AENJPLPP_00980,AENJPLPP_00980,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
94024.90155,3.896064712,0.066620221,58.48171443,0,0,AENJPLPP_02310,AENJPLPP_02310,CDS,folT_2,Folate transporter FolT,,,folT_2,"folT_2
(AENJPLPP_02310)",Up in serum
125.9355668,3.89398336,0.248348751,15.67949643,2.09E-55,8.02E-55,AENJPLPP_00942,AENJPLPP_00942,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
17.34740761,3.890383467,0.667887057,5.824912205,5.71E-09,9.85E-09,AENJPLPP_02315,AENJPLPP_02315,CDS,manX_4,PTS system mannose-specific EIIAB component,2.7.1.191,,manX_4,"manX_4
(AENJPLPP_02315)",Up in serum
630.9626615,3.843991316,0.12814146,29.99802965,1.04E-197,1.08E-196,AENJPLPP_01661,AENJPLPP_01661,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
3942.438637,3.832551377,0.067423242,56.84317881,0,0,AENJPLPP_00096,AENJPLPP_00096,CDS,yfiY,putative siderophore-binding lipoprotein YfiY,,COG0614,yfiY,"yfiY
(AENJPLPP_00096)",Up in serum
320.4056959,3.820262792,0.173133433,22.06542501,6.79E-108,4.16E-107,AENJPLPP_01801,AENJPLPP_01801,CDS,rbsD,D-ribose pyranase,5.4.99.62,COG1869,rbsD,"rbsD
(AENJPLPP_01801)",Up in serum
945.4859872,3.813858598,0.113354452,33.64542399,3.64E-248,4.81E-247,AENJPLPP_02033,AENJPLPP_02033,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
69.80658904,3.798847246,0.32446045,11.70819816,1.16E-31,3.15E-31,AENJPLPP_02158,AENJPLPP_02158,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
151.8230839,3.759703287,0.225506724,16.67224472,2.09E-62,8.55E-62,AENJPLPP_00963,AENJPLPP_00963,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
28643.07656,3.743629172,0.059358244,63.068395,0,0,AENJPLPP_00591,AENJPLPP_00591,CDS,purB,Adenylosuccinate lyase,4.3.2.2,COG0015,purB,"purB
(AENJPLPP_00591)",Up in serum
383.9378747,3.693109294,0.145947202,25.30441989,2.86E-141,2.14E-140,AENJPLPP_00941,AENJPLPP_00941,CDS,NA,hypothetical protein,,,hypothetical protein,hypothetical protein,Up in serum
