"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
12786.5811708052,-2.75131065210494,0.0682488150837775,-40.3129438764267,0,0,"AENJPLPP_01491","AENJPLPP_01491","CDS","rpsZ","30S ribosomal protein S14 type Z","","COG0199","rpsZ","rpsZ
(AENJPLPP_01491)","Down in serum"
25914.6080493391,-2.33030491208234,0.0525996745727938,-44.3026488473305,0,0,"AENJPLPP_01493","AENJPLPP_01493","CDS","rplF","50S ribosomal protein L6","","","rplF","rplF
(AENJPLPP_01493)","Down in serum"
24357.5223530939,-2.62056648400508,0.0578233908524615,-45.3201800408341,0,0,"AENJPLPP_01494","AENJPLPP_01494","CDS","rplR","50S ribosomal protein L18","","COG0256","rplR","rplR
(AENJPLPP_01494)","Down in serum"
33796.4598197894,-2.48075422802862,0.0590890653452539,-41.9833045849299,0,0,"AENJPLPP_01495","AENJPLPP_01495","CDS","rpsE","30S ribosomal protein S5","","COG0098","rpsE","rpsE
(AENJPLPP_01495)","Down in serum"
7171.83144171061,-2.61251900387875,0.0578376625816582,-45.1698579656511,0,0,"AENJPLPP_01496","AENJPLPP_01496","CDS","rpmD","50S ribosomal protein L30","","COG1841","rpmD","rpmD
(AENJPLPP_01496)","Down in serum"
84414.3482633207,-2.71988431503039,0.0565364057465617,-48.1085466809287,0,0,"AENJPLPP_01498","AENJPLPP_01498","CDS","secY","Protein translocase subunit SecY","","","secY","secY
(AENJPLPP_01498)","Down in serum"
26118.709920207,-2.94516084128871,0.0544475152623526,-54.0917400380458,0,0,"AENJPLPP_01499","AENJPLPP_01499","CDS","adk","Adenylate kinase","2.7.4.3","","adk","adk
(AENJPLPP_01499)","Down in serum"
16291.0295886143,-2.33891350739409,0.0549444726953326,-42.5686769324984,0,0,"AENJPLPP_01502","AENJPLPP_01502","CDS","rpsM","30S ribosomal protein S13","","COG0099","rpsM","rpsM
(AENJPLPP_01502)","Down in serum"
13045.0503924342,-2.54504048525664,0.0608842164189062,-41.8013178940468,0,0,"AENJPLPP_01503","AENJPLPP_01503","CDS","rpsK","30S ribosomal protein S11","","","rpsK","rpsK
(AENJPLPP_01503)","Down in serum"
56802.6845458282,-2.27341341192338,0.0581074644681233,-39.1242920807624,0,0,"AENJPLPP_01505","AENJPLPP_01505","CDS","rplQ","50S ribosomal protein L17","","COG0203","rplQ","rplQ
(AENJPLPP_01505)","Down in serum"
5229.52044524473,-4.76920204181012,0.0722124190862441,-66.0440697342407,0,0,"AENJPLPP_01761","AENJPLPP_01761","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
1796.06824969128,-4.11920644772632,0.0901810382053979,-45.6770794581489,0,0,"AENJPLPP_01762","AENJPLPP_01762","CDS","gadC_2","putative glutamate/gamma-aminobutyrate antiporter","","COG0531","gadC_2","gadC_2
(AENJPLPP_01762)","Down in serum"
1585.5759005721,-3.37282715292526,0.0835808872517134,-40.3540482020442,0,0,"AENJPLPP_01779","AENJPLPP_01779","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
2764.08479264979,-2.73562510776836,0.0679619536297807,-40.2523023789242,0,0,"AENJPLPP_01807","AENJPLPP_01807","CDS","treA","Trehalose-6-phosphate hydrolase","3.2.1.93","COG0366","treA","treA
(AENJPLPP_01807)","Down in serum"
8225.36167437644,-2.61023133492933,0.0622141040588796,-41.955620424253,0,0,"AENJPLPP_01942","AENJPLPP_01942","CDS","prsA_3","Foldase protein PrsA","5.2.1.8","","prsA_3","prsA_3
(AENJPLPP_01942)","Down in serum"
1881.57208867846,-4.8754071176184,0.105190453303646,-46.3483801476253,0,0,"AENJPLPP_01961","AENJPLPP_01961","CDS","yvdD","LOG family protein YvdD","","COG1611","yvdD","yvdD
(AENJPLPP_01961)","Down in serum"
2629.40262805611,-4.16448449579014,0.0786778994793041,-52.9308042455503,0,0,"AENJPLPP_01962","AENJPLPP_01962","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
3303.45240019959,-3.70713903611607,0.0732853938706115,-50.5849643472092,0,0,"AENJPLPP_01963","AENJPLPP_01963","CDS",NA,"Deoxyguanosine kinase","2.7.1.113","COG1428","Deoxyguanosine kinase","Deoxyguanosine kinase","Down in serum"
2681.1713521564,-2.93817362384309,0.0756129567405849,-38.8580707658802,0,0,"AENJPLPP_02092","AENJPLPP_02092","CDS","dauA","C4-dicarboxylic acid transporter DauA","","COG0659","dauA","dauA
(AENJPLPP_02092)","Down in serum"
37590.540869081,-2.42582310527565,0.0604603192816123,-40.1225652477394,0,0,"AENJPLPP_02094","AENJPLPP_02094","CDS","rplU","50S ribosomal protein L21","","COG0261","rplU","rplU
(AENJPLPP_02094)","Down in serum"
7972.13642667022,-2.1915034698092,0.0557730399575005,-39.2932404523608,0,0,"AENJPLPP_02131","AENJPLPP_02131","CDS","ileS","Isoleucine--tRNA ligase","6.1.1.5","COG0060","ileS","ileS
(AENJPLPP_02131)","Down in serum"
1561.68044441909,-3.26153095912252,0.0817059843575425,-39.9178956690636,0,0,"AENJPLPP_02581","AENJPLPP_02581","CDS","glyQ","Glycine--tRNA ligase alpha subunit","6.1.1.14","COG0752","glyQ","glyQ
(AENJPLPP_02581)","Down in serum"
2423.17497597926,-4.41139902710595,0.0927888256584882,-47.5423521722564,0,0,"AENJPLPP_02832","AENJPLPP_02832","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
4577.15175027627,-2.8340535506336,0.0634134357310068,-44.69168903977,0,0,"AENJPLPP_02833","AENJPLPP_02833","CDS","scrB_1","Sucrose-6-phosphate hydrolase","3.2.1.26","","scrB_1","scrB_1
(AENJPLPP_02833)","Down in serum"
6342.59924655731,-2.58363812058188,0.0680678454818059,-37.9568076864203,2.97947258069492e-315,5.37253941164855e-314,"AENJPLPP_01477","AENJPLPP_01477","CDS","rpsJ","30S ribosomal protein S10","","COG0051","rpsJ","rpsJ
(AENJPLPP_01477)","Down in serum"
26226.0493894396,-2.762319610594,0.0728515097858275,-37.9171223590947,1.34412966829443e-314,2.40837410816707e-313,"AENJPLPP_01497","AENJPLPP_01497","CDS","rplO","50S ribosomal protein L15","","","rplO","rplO
(AENJPLPP_01497)","Down in serum"
4309.59506157672,-2.31363165901888,0.0610965288324493,-37.868463286413,8.50672663404489e-314,1.50515894381101e-312,"AENJPLPP_02048","AENJPLPP_02048","CDS","pyrG","CTP synthase","6.3.4.2","COG0504","pyrG","pyrG
(AENJPLPP_02048)","Down in serum"
