"gene_id","gene_symbol","product","display_name","feature_type","EC_number","COG","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","classification","plot_label","locus_tag"
"AENJPLPP_00828","accA","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","accA","CDS","2.1.3.15","COG0825",14551.7792915243,-4.86522862170363,0.0756103570001031,-64.3460607082836,0,0,"Down in serum","accA
(AENJPLPP_00828)","AENJPLPP_00828"
"AENJPLPP_00829","accD","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","accD","CDS","2.1.3.15","COG0777",13957.0304987791,-4.85402126442916,0.0714176625932455,-67.9666778241527,0,0,"Down in serum","accD
(AENJPLPP_00829)","AENJPLPP_00829"
"AENJPLPP_00830","cfiB","2-oxoglutarate carboxylase small subunit","cfiB","CDS","6.4.1.7","COG0439",27568.4447564291,-5.20526929157303,0.0626268110599445,-83.1156688880535,0,0,"Down in serum","cfiB
(AENJPLPP_00830)","AENJPLPP_00830"
"AENJPLPP_00831","fabZ_2","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","fabZ_2","CDS","4.2.1.59","COG0764",8078.18196439234,-5.34667140074813,0.0951896236738275,-56.1686368155923,0,0,"Down in serum","fabZ_2
(AENJPLPP_00831)","AENJPLPP_00831"
"AENJPLPP_00832","accB","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","accB","CDS","","",10220.8275714661,-5.22005547377873,0.088557519782705,-58.9453666564654,0,0,"Down in serum","accB
(AENJPLPP_00832)","AENJPLPP_00832"
"AENJPLPP_00833","fabF","3-oxoacyl-[acyl-carrier-protein] synthase 2","fabF","CDS","2.3.1.179","COG0304",19566.0817257621,-5.24241783871974,0.0758102640369289,-69.151821396718,0,0,"Down in serum","fabF
(AENJPLPP_00833)","AENJPLPP_00833"
"AENJPLPP_00834","fabG_2","3-oxoacyl-[acyl-carrier-protein] reductase FabG","fabG_2","CDS","1.1.1.100","",18080.1676965605,-5.48443551036749,0.069084836278811,-79.3869654439583,0,0,"Down in serum","fabG_2
(AENJPLPP_00834)","AENJPLPP_00834"
"AENJPLPP_00835","fabD","Malonyl CoA-acyl carrier protein transacylase","fabD","CDS","2.3.1.39","COG0331",16740.7594828412,-5.63478423621023,0.0747573467922878,-75.3743207589536,0,0,"Down in serum","fabD
(AENJPLPP_00835)","AENJPLPP_00835"
"AENJPLPP_00836","acpA","Acyl carrier protein","acpA","CDS","","COG0236",11845.0102160263,-5.69432751981694,0.086602695515107,-65.7523127420857,0,0,"Down in serum","acpA
(AENJPLPP_00836)","AENJPLPP_00836"
"AENJPLPP_00837","fabH","3-oxoacyl-[acyl-carrier-protein] synthase 3","fabH","CDS","2.3.1.180","COG0332",18522.3251739556,-4.46756804823547,0.0705027553211202,-63.3672829932242,0,0,"Down in serum","fabH
(AENJPLPP_00837)","AENJPLPP_00837"
"AENJPLPP_00838",NA,"hypothetical protein","hypothetical protein","CDS","","",10119.8894015314,-4.46145009742862,0.0693046828923552,-64.3744392331784,0,0,"Down in serum","hypothetical protein","AENJPLPP_00838"
"AENJPLPP_00847",NA,"hypothetical protein","hypothetical protein","CDS","","",22575.2398269557,4.36181129920874,0.0751544050633853,58.0379991768943,0,0,"Up in serum","hypothetical protein","AENJPLPP_00847"
"AENJPLPP_00874","greA","Transcription elongation factor GreA","greA","CDS","","COG0782",11433.8909701577,-2.25598541676734,0.055147973479265,-40.9078570695906,0,0,"Down in serum","greA
(AENJPLPP_00874)","AENJPLPP_00874"
